[TRACE] 14:29:15:334 main.c/(2214:2214): ---------

[TRACE] 14:30:12:876 main.c/(2303:2303): ---------

[TRACE] 14:30:57:936 main.c/(2416:2416): ---------

[TRACE] 14:31:56:818 main.c/(2507:2507): ---------

[TRACE] 14:32:16:398 main.c/(2578:2578): ---------

[TRACE] 14:32:37:201 main.c/(2676:2676): ---------

[TRACE] 14:43:07:952 main.c/(3069:3069): ---------

[TRACE] 01:45:54:400 main.c/(5351:5351): Escribiendo pagina 10, pid 0
[TRACE] 01:45:54:401 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:404 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:414 main.c/(5351:5351): Leyendo pagina 10, pid 0
[TRACE] 01:45:54:418 main.c/(5351:5351): Leyendo pagina 10, pid 0
[TRACE] 01:45:54:428 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:430 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:500 main.c/(5351:5351): Escribiendo pagina 10, pid 0
[TRACE] 01:45:54:502 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:506 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:527 main.c/(5351:5351): Leyendo pagina 10, pid 0
[TRACE] 01:45:54:529 main.c/(5351:5351): Leyendo pagina 10, pid 0
[TRACE] 01:45:54:539 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:542 main.c/(5351:5351): Leyendo pagina 2, pid 0
[TRACE] 01:45:54:610 main.c/(5351:5351): Escribiendo pagina 10, pid 0
[TRACE] 01:45:54:612 main.c/(5351:5351): Leyendo pagina 3, pid 0
[TRACE] 01:45:54:617 main.c/(5351:5351): Leyendo pagina 3, pid 0
